CGG_NM,STDG_NM,score
강남구,대치동,0.37852176596848974
양천구,목동,0.30893162048456524
양천구,신정동,0.23832705160987905
중구,신당동,0.2271666776303254
강남구,신사동,0.22673103656723015
구로구,구로동,0.19461378603865753
노원구,상계동,0.18143196657018718
노원구,중계동,0.17757304126697826
강북구,미아동,0.16493802577263889
광진구,구의동,0.16183710919334934
서초구,반포동,0.15643448830547596
관악구,봉천동,0.15046665203155496
성북구,길음동,0.14332255285919082
송파구,잠실동,0.14236636206090825
서초구,방배동,0.13939698376463472
광진구,자양동,0.13763711960685954
강동구,명일동,0.13188986806488084
강동구,성내동,0.1230119103268332
영등포구,신길동,0.11809138259763555
도봉구,창동,0.1150758565566351
