CGG_NM,STDG_NM,score
강남구,대치동,0.37852176596848974
양천구,목동,0.30893162048456524
양천구,신정동,0.23832705160987905
중구,신당동,0.2271666776303254
강남구,신사동,0.22673103656723015
구로구,구로동,0.19461378603865753
노원구,상계동,0.18143196657018718
노원구,중계동,0.17757304126697826
강북구,미아동,0.16493802577263889
광진구,구의동,0.16183710919334934
서초구,반포동,0.15643448830547596
관악구,봉천동,0.15046665203155496
성북구,길음동,0.14332255285919082
송파구,잠실동,0.14236636206090825
서초구,방배동,0.13939698376463472
광진구,자양동,0.13763711960685954
강동구,명일동,0.13188986806488084
강동구,성내동,0.1230119103268332
영등포구,신길동,0.11809138259763555
도봉구,창동,0.1150758565566351
금천구,독산동,0.11451686364626054
동작구,상도동,0.11412425119537478
광진구,중곡동,0.11223039233871646
중랑구,면목동,0.10785264127388375
송파구,문정동,0.10741896088583502
강동구,천호동,0.10709026897867924
서초구,잠원동,0.10669586556211691
송파구,신천동,0.10327322781811234
구로구,고척동,0.10102201442300247
강남구,논현동,0.09616740503656315
서대문구,남가좌동,0.09427013380204079
강서구,마곡동,0.09334792595203589
성동구,행당동,0.0925045470352478
노원구,공릉동,0.09188608361404191
양천구,신월동,0.09020650099677974
은평구,불광동,0.08781658252345115
강서구,내발산동,0.08727611987711506
강서구,등촌동,0.08618174556190841
도봉구,방학동,0.0851873330730964
서초구,서초동,0.08325028068497577
강동구,길동,0.08219888350304905
중랑구,신내동,0.08017770658272425
송파구,송파동,0.07919290071787806
서대문구,홍제동,0.07914577304175725
강남구,도곡동,0.07597610904675894
영등포구,대림동,0.07374107162299946
강남구,개포동,0.07164307961862997
금천구,시흥동,0.06987747394035662
영등포구,당산동,0.06969436672945181
도봉구,쌍문동,0.0688731213712341
동대문구,제기동,0.06626988250722647
강동구,암사동,0.0656989911799135
동대문구,이문동,0.06230705823816805
강남구,청담동,0.06125692235829148
성북구,돈암동,0.05940291936947674
구로구,개봉동,0.05936261215380745
성북구,하월곡동,0.0580781992343759
강서구,염창동,0.057110013758652226
서초구,양재동,0.05663365754989962
강서구,방화동,0.055635690793786774
동대문구,전농동,0.05543415606465932
동작구,대방동,0.05429494589486328
송파구,가락동,0.05414195763124799
송파구,석촌동,0.053695981973220945
은평구,진관동,0.05297410281609802
서대문구,북가좌동,0.05222105645300201
금천구,가산동,0.05103202264244082
구로구,신도림동,0.0507350810481709
은평구,응암동,0.05054644689243204
강남구,압구정동,0.05029732244348925
노원구,월계동,0.049444004908889484
은평구,역촌동,0.04932128990816769
영등포구,양평동,0.04920788649864909
마포구,동교동,0.048865603623359864
중랑구,망우동,0.048602906757744584
송파구,오금동,0.047509450856872526
서대문구,홍은동,0.04665670026576197
강서구,가양동,0.04642344755059583
중구,남창동,0.044225672683631534
송파구,거여동,0.04405515577546765
성북구,정릉동,0.04334258820954792
송파구,풍납동,0.042736035723667506
은평구,신사동,0.04258954184645192
